"code","uri","label","definition","label_en","label_fr","label_es"
"ABW","","Aruba","","Aruba","Aruba","Aruba"
"AGO","","Angola","","Angola","Angola","Angola"
"AIA","","Anguilla","","Anguilla","Anguilla","Anguila"
"ALB","","Albania","","Albania","Albanie","Albania"
"ARE","","United Arab Emirates","","United Arab Emirates","Émirats arabes unis","Emiratos Árabes Unidos"
"ARG","","Argentina","","Argentina","Argentine","Argentina"
"ASM","","American Samoa","","American Samoa","Samoa américaines","Samoa Americana"
"ATG","","Antigua and Barbuda","","Antigua and Barbuda","Antigua-et-Barbuda","Antigua y Barbuda"
"AUS","","Australia","","Australia","Australie","Australia"
"BEN","","Benin","","Benin","Bénin","Benin"
"BGD","","Bangladesh","","Bangladesh","Bangladesh","Bangladesh"
"BHR","","Bahrain","","Bahrain","Bahreïn","Bahrein"
"BHS","","Bahamas","","Bahamas","Bahamas","Bahamas"
"BLR","","Belarus","","Belarus","Bélarus","Belarús"
"BLZ","","Belize","","Belize","Belize","Belice"
"BMU","","Bermuda","","Bermuda","Bermudes","Bermudas"
"BOL","","Bolivia (Plurinat.State)","","Bolivia (Plurinat.State)","Bolivie (État plurinat.)","Bolivia (Estado Plurin.)"
"BRA","","Brazil","","Brazil","Brésil","Brasil"
"BRB","","Barbados","","Barbados","Barbade","Barbados"
"CAN","","Canada","","Canada","Canada","Canadá"
"CHE","","Switzerland","","Switzerland","Suisse","Suiza"
"CHL","","Chile","","Chile","Chili","Chile"
"CHN","","China","","China","Chine","China"
"CIV","","Côte d'Ivoire","","Côte d'Ivoire","Côte d'Ivoire","Côte d'Ivoire"
"CMR","","Cameroon","","Cameroon","Cameroun","Camerún"
"COG","","Congo, Republic of","","Congo, Republic of","République du Congo","República del Congo"
"COK","","Cook Islands","","Cook Islands","Îles Cook","Islas Cook"
"COL","","Colombia","","Colombia","Colombie","Colombia"
"COM","","Comoros","","Comoros","Comores","Comoras"
"CPV","","Cabo Verde","","Cabo Verde","Cabo Verde","Cabo Verde"
"CRI","","Costa Rica","","Costa Rica","Costa Rica","Costa Rica"
"CUB","","Cuba","","Cuba","Cuba","Cuba"
"CUW","","Curaçao","","Curaçao","Curaçao","Curaçao"
"CYM","","Cayman Islands","","Cayman Islands","Îles Caïmanes","Islas Caimán"
"DDR","","German Democratic Republic","","German Democratic Republic","République démocratique allemande","República democrática alemana"
"DJI","","Djibouti","","Djibouti","Djibouti","Djibouti"
"DMA","","Dominica","","Dominica","Dominique","Dominica"
"DOM","","Dominican Republic","","Dominican Republic","République dominicaine","República Dominicana"
"DZA","","Algeria","","Algeria","Algérie","Argelia"
"ECU","","Ecuador","","Ecuador","Équateur","Ecuador"
"EGY","","Egypt","","Egypt","Égypte","Egipto"
"ERI","","Eritrea","","Eritrea","Érythrée","Eritrea"
"EUBEL","","Belgium (EU)","","Belgium (EU)","Belgique (UE)","Bélgica (UE)"
"EUBGR","","Bulgaria (EU)","","Bulgaria (EU)","Bulgarie (UE)","Bulgaria (UE)"
"EUCYP","","Cyprus (EU)","","Cyprus (EU)","Chypre (UE)","Chipre (UE)"
"EUDEU","","Germany (EU)","","Germany (EU)","Allemagne (UE)","Alemania (UE)"
"EUDNK","","Denmark (EU)","","Denmark (EU)","Danemark (UE)","Dinamarca (UE)"
"EUESP","","Spain (EU)","","Spain (EU)","Espagne (UE)","España (UE)"
"EUEST","","Estonia (EU)","","Estonia (EU)","Estonie (UE)","Estonia (UE)"
"EUFRA","","France (EU)","","France (EU)","France (UE)","Francia (UE)"
"EUGBR","","United Kingdom (EU)","","United Kingdom (EU)","Royaume-Uni (UE)","Reino Unido (UE)"
"EUGRC","","Greece (EU)","","Greece (EU)","Grèce (UE)","Grecia (UE)"
"EUHRV","","Croatia (EU)","","Croatia (EU)","Croatie (UE)","Croacia (UE)"
"EUIRL","","Ireland (EU)","","Ireland (EU)","Irlande (UE)","Irlanda (UE)"
"EUITA","","Italy (EU)","","Italy (EU)","Italie (UE)","Italia (UE)"
"EULTU","","Lithuania (EU)","","Lithuania (EU)","Lituanie (UE)","Lituania (UE)"
"EULVA","","Latvia (EU)","","Latvia (EU)","Lettonie (UE)","Letonia (UE)"
"EUMLT","","Malta (EU)","","Malta (EU)","Malte (UE)","Malta (UE)"
"EUNLD","","Netherlands (EU)","","Netherlands (EU)","Pays-Bas (UE)","Países Bajos (UE)"
"EUPOL","","Poland (EU)","","Poland (EU)","Pologne (UE)","Polonia (UE)"
"EUPRT","","Portugal (EU)","","Portugal (EU)","Portugal (UE)","Portugal (UE)"
"EUR","","European Union","","European Union","Union européenne","Unión europea"
"EUROU","","Romania (EU)","","Romania (EU)","Roumanie (UE)","Rumania (UE)"
"EUSVN","","Slovenia (EU)","","Slovenia (EU)","Slovénie (UE)","Eslovenia (UE)"
"EUSWE","","Sweden (EU)","","Sweden (EU)","Suède (UE)","Suecia (UE)"
"FJI","","Fiji, Republic of","","Fiji, Republic of","République des Fidji","República de Fiji"
"FLK","","Falkland Is.(Malvinas)","","Falkland Is.(Malvinas)","Îles Falkland(Malvinas)","Islas Malvinas(Falkland)"
"FRAT","","France (territories)","","France (territories)","France (territoires)","Francia (territorios)"
"FRO","","Faroe Islands","","Faroe Islands","Îles Féroé","Islas Feroe"
"FSM","","Micronesia,Fed.States of","","Micronesia,Fed.States of","Micronésie(États féd.de)","Micronesia(Estados Fed.)"
"GAB","","Gabon","","Gabon","Gabon","Gabón"
"GBR","","United Kingdom","","United Kingdom","Royaume-Uni","Reino Unido"
"GBRT","","UK (territories)","","UK (territories)","Royaume-Uni (territoires)","Reino Unido (territorios)"
"GEO","","Georgia","","Georgia","Géorgie","Georgia"
"GHA","","Ghana","","Ghana","Ghana","Ghana"
"GIN","","Guinea","","Guinea","Guinée","Guinea"
"GMB","","Gambia","","Gambia","Gambie","Gambia"
"GNB","","Guinea-Bissau","","Guinea-Bissau","Guinée-Bissau","Guinea-Bissau"
"GNQ","","Equatorial Guinea","","Equatorial Guinea","Guinée équatoriale","Guinea Ecuatorial"
"GRD","","Grenada","","Grenada","Grenade","Granada"
"GTM","","Guatemala","","Guatemala","Guatemala","Guatemala"
"GUM","","Guam","","Guam","Guam","Guam"
"GUY","","Guyana","","Guyana","Guyana","Guyana"
"HND","","Honduras","","Honduras","Honduras","Honduras"
"HTI","","Haiti","","Haiti","Haïti","Haití"
"IDN","","Indonesia","","Indonesia","Indonésie","Indonesia"
"IND","","India","","India","Inde","India"
"IRN","","Iran (Islamic Rep. of)","","Iran (Islamic Rep. of)","Iran (Rép. islamique d')","Irán (Rep. Islámica del)"
"ISL","","Iceland","","Iceland","Islande","Islandia"
"ISR","","Israel","","Israel","Israël","Israel"
"JAM","","Jamaica","","Jamaica","Jamaïque","Jamaica"
"JOR","","Jordan","","Jordan","Jordanie","Jordania"
"JPN","","Japan","","Japan","Japon","Japón"
"KEN","","Kenya","","Kenya","Kenya","Kenya"
"KHM","","Cambodia","","Cambodia","Cambodge","Camboya"
"KIR","","Kiribati","","Kiribati","Kiribati","Kiribati"
"KNA","","Saint Kitts and Nevis","","Saint Kitts and Nevis","Saint-Kitts-et-Nevis","Saint Kitts y Nevis"
"KOR","","Korea, Republic of","","Korea, Republic of","République de Corée","República de Corea"
"KWT","","Kuwait","","Kuwait","Koweït","Kuwait"
"LBN","","Lebanon","","Lebanon","Liban","Líbano"
"LBR","","Liberia","","Liberia","Libéria","Liberia"
"LBY","","Libya","","Libya","Libye","Libia"
"LCA","","Saint Lucia","","Saint Lucia","Sainte-Lucie","Santa Lucía"
"LKA","","Sri Lanka","","Sri Lanka","Sri Lanka","Sri Lanka"
"MAR","","Morocco","","Morocco","Maroc","Marruecos"
